time,elapsed_seconds,message
22:26:02,6.86e-05,change limit/bound enforement for lambda 1000: upper change limit,SOL_K, scaling factor: 4.30876e-05
22:26:02,0.0044206,checking for denormal floating point values
22:26:02,7.24e-05,transforming upgrade pars to model pars
22:26:02,0.0002151,writing upgrade vector to csv file
22:26:02,0.0090073,LinearAnalysis::glm_iter_fosm
22:26:03,0.0102407,starting FOSM uncertainty analyses for iteration 0
22:26:03,0.0645712,loading obscov
22:26:03,0.0032859,loading parcov
22:26:03,0.0003859,set_predictions
22:26:03,0.0027191,parameter fosm calcs
22:26:03,8.13e-05,LinearAnalysis::calc_posterior
22:26:03,3.45e-05,LinearAnalysis::align
22:26:03,0.0101834,LinearAnalysis::prior_prediction_variance()::invert obscov
22:26:03,6.07e-05,inverting diagonal matrix in place
22:26:03,0.0003849,LinearAnalysis::calc_posterior() form JtQJ
22:26:03,0.0033197,LinearAnalysis::calc_posterior() invert prior parcov
22:26:03,0.0010585,LinearAnalysis::calc_posterior() form posterior parcov
22:26:03,5.97e-05,LinearAnalysis::calc_posterior() invert posterior parcov
22:26:03,1.79e-05,inverting non-diagonal matrix in place
22:44:08,1085.46,completed iteration 1
22:44:08,0.219675,beginning iteration 2
22:44:08,0.0007093,commencing to build jacobian parameter sets
22:44:08,0.0359652,jacobian parameter sets built, commencing model runs
00:11:10,5221.38,jacobian runs complete, processing runs
00:11:10,0.0138429,processing jacobian runs complete
00:11:10,4.95e-05,saving jacobian and sen files
00:11:10,0.0640315,commencing calculation of upgrade vector
00:11:10,0.0394353,forming JtQJ matrix
00:11:10,0.003607,commencing to scale JtQJ matrix- first SVD...
00:11:10,5.09e-05,starting REDSVD
00:11:10,0.0013225,retrieving REDSVD components
00:11:10,0.0001605,triming REDSVD components to 9elements
00:11:10,3.86e-05,done REDSVD
00:11:10,5.08e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
00:11:10,1.4e-05,JS
00:11:10,0.0018975,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
00:11:10,0.0038604,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
00:11:10,5.22e-05,commencing SVD factorization of lambda-scaled JtQJ
00:11:10,1.57e-05,starting REDSVD
00:11:10,0.0003756,retrieving REDSVD components
00:11:10,5.59e-05,triming REDSVD components to 9elements
00:11:10,2.02e-05,done REDSVD
00:11:10,1.25e-05,SVD factorization complete
00:11:10,0.0011007,commencing linear algebra multiplication to compute ugrade
