obsnme,obsval,weight,obgnme
g_5163_20090625,-27.220672,1,g_5163
g_5163_20090626,-27.342211,1,g_5163
g_5163_20090627,-27.232356,1,g_5163
g_5163_20090628,-27.04338,1,g_5163
g_5163_20090629,-27.28407675,1,g_5163
g_5163_20090630,-27.5346795,1,g_5163
g_5163_20090701,-27.563572,1,g_5163
g_5163_20090702,-27.69212775,1,g_5163
g_5163_20090703,-27.61764225,1,g_5163
g_5163_20090704,-27.358975,1,g_5163
g_5163_20090705,-27.0377285,1,g_5163
g_5163_20090706,-27.28642625,1,g_5163
g_5163_20090707,-27.043888,1,g_5163
g_5163_20090708,-26.85703925,1,g_5163
g_5163_20090709,-26.70184525,1,g_5163
g_5163_20090710,-26.703655,1,g_5163
g_5163_20090711,-26.46934,1,g_5163
g_5163_20090712,-26.23943825,1,g_5163
g_5163_20090713,-26.490549,1,g_5163
g_5163_20090714,-26.71064,1,g_5163
g_5163_20090715,-26.810462,1,g_5163
g_5163_20090716,-26.94238325,1,g_5163
g_5163_20090717,-26.9549245,1,g_5163
g_5163_20090718,-26.479627,1,g_5163
g_5163_20090719,-26.15714225,1,g_5163
g_5163_20090720,-26.3055735,1,g_5163
g_5163_20090721,-26.35189675,1,g_5163
g_5163_20090722,-26.60043575,1,g_5163
g_5163_20090723,-26.661618,1,g_5163
g_5163_20090724,-26.7749655,1,g_5163
g_5163_20090725,-26.52487075,1,g_5163
g_5163_20090726,-26.373709,1,g_5163
g_5163_20090727,-26.61840625,1,g_5163
g_5163_20090728,-26.826845,1,g_5163
g_5163_20090729,-26.98518225,1,g_5163
g_5163_20090730,-26.97857825,1,g_5163
g_5163_20090731,-26.65676025,1,g_5163
g_5163_20090801,-26.376503,1,g_5163
g_5163_20090802,-26.23232625,1,g_5163
g_5163_20090803,-26.48277025,1,g_5163
g_5163_20090804,-26.734516,1,g_5163
g_5163_20090805,-26.798905,1,g_5163
g_5163_20090806,-26.74839075,1,g_5163
g_5163_20090807,-26.84935575,1,g_5163
g_5163_20090808,-26.78699875,1,g_5163
g_5163_20090809,-26.52271175,1,g_5163
g_5163_20090810,-26.7778865,1,g_5163
g_5163_20090811,-27.00670875,1,g_5163
g_5163_20090812,-27.1050385,1,g_5163
g_5163_20090813,-26.68679575,1,g_5163
g_5163_20090814,-26.6604115,1,g_5163
g_5163_20090815,-26.49000925,1,g_5163
g_5163_20090816,-26.3209405,1,g_5163
g_5163_20090817,-26.621867,1,g_5163
g_5163_20090818,-26.87221575,1,g_5163
g_5163_20090819,-26.93577925,1,g_5163
g_5163_20090820,-26.914856,1,g_5163
g_5163_20090821,-26.968577,1,g_5163
g_5163_20090822,-26.68323975,1,g_5163
g_5163_20090823,-26.42384225,1,g_5163
g_5163_20090824,-26.72680075,1,g_5163
g_5163_20090825,-26.9072995,1,g_5163
g_5163_20090826,-27.0816705,1,g_5163
g_5163_20090827,-27.03693475,1,g_5163
g_5163_20090828,-26.67415925,1,g_5163
g_5163_20090829,-26.28668225,1,g_5163
g_5163_20090830,-26.25613875,1,g_5163
g_5163_20090831,-26.7208635,1,g_5163
g_5163_20090901,-26.94562175,1,g_5163
g_5163_20090902,-27.006296,1,g_5163
g_5163_20090903,-26.9532735,1,g_5163
